year,cnt,platform,airport
2009,5797987.0,yellow,JFK
2009,10341109.0,yellow,LaGuardia
2009,320166.0,yellow,Newark
2010,5896736.0,yellow,JFK
2010,10278304.0,yellow,LaGuardia
2010,306271.0,yellow,Newark
2011,6578320.0,yellow,JFK
2011,11003281.0,yellow,LaGuardia
2011,323737.0,yellow,Newark
2012,7166065.0,yellow,JFK
2012,11843079.0,yellow,LaGuardia
2012,331741.0,yellow,Newark
2013,33204.0,green,JFK
2013,7485037.0,yellow,JFK
2013,199538.0,green,LaGuardia
2013,12098912.0,yellow,LaGuardia
2013,796.0,green,Newark
2013,380544.0,yellow,Newark
2014,489123.0,green,JFK
2014,7579101.0,yellow,JFK
2014,1892172.0,green,LaGuardia
2014,11465368.0,yellow,LaGuardia
2014,10125.0,green,Newark
2014,395504.0,yellow,Newark
2015,762931.0,fhv,JFK
2015,707701.0,green,JFK
2015,7787540.0,yellow,JFK
2015,736159.0,fhv,LaGuardia
2015,2132269.0,green,LaGuardia
2015,10715475.0,yellow,LaGuardia
2015,17362.0,fhv,Newark
2015,10709.0,green,Newark
2015,360245.0,yellow,Newark
2016,1528986.0,fhv,JFK
2016,380826.0,green,JFK
2016,3690810.0,yellow,JFK
2016,1582430.0,fhv,LaGuardia
2016,962570.0,green,LaGuardia
2016,5073446.0,yellow,LaGuardia
2016,9335.0,fhv,Newark
2016,5411.0,green,Newark
2016,180144.0,yellow,Newark
